Quantity,Name,Price Per Part,Link
2x,Nema 17 stepper motor (regular),$14,,https://www.amazon.com/STEPPERONLINE-Stepper-Bipolar-Connector-compatible/dp/B00PNEQKC0
1x,Nema 17 stepper motor (w/gearbox),$42,,https://www.amazon.com/51-Planetary-Gearbox-Stepper-Precision/dp/B00QEVLDVO
1x,F8-22M thrust ball bearing,$1,,https://www.aliexpress.us/item/3256807051413217.html
1x,10-pack radial ball bearing, 3mm bore,$2,,https://www.aliexpress.us/item/3256807605344885.html
1x,Worm gear set (worm + gear),$12,,https://www.amazon.com/uxcell-Worm-Gear-Set-Reduction/dp/B0DFCVKXLX
1x,PCB board (through JLCPCB & Hack Club $20 Coupon),$0, covered by coupon,See gerbers.zip in 'pcb' folder
1x,20-pack 6x6x14 pushbutton,$1,,https://www.aliexpress.us/item/2255800980685095.html
1x,I2C 16x2 LCD with I2C backpack, blue color,$1,,https://www.aliexpress.us/item/3256808568663888.html
1x,ESP32 DEVKIT WROOM-32 38-Pin Development Board Type-C,$1,,https://www.aliexpress.us/item/3256808295104972.html
1x,Resistor pack,$5,,https://www.amazon.com/Resistor-Resistors-Assortment-Breadboard-Electronics/dp/B0F4P352BB
1x,NEO-8M GPS Module,$1,,https://www.aliexpress.us/item/3256806859439052.html
1x,QMC5883L Compass Module,$2,,https://www.aliexpress.us/item/3256807913730129.html
3x,TMC2209 stepper motor driver,$1,,https://www.aliexpress.us/item/3256808046478114.html
1x,16T 5mm bore gear,$7,,https://www.amazon.com/WINSINN-Aluminum-Synchronous-Timing-Printer/dp/B077GMR328
1x,16T toothless idler bearing for 6mm width GT2 belt, 3mm bore,$9,,https://www.amazon.com/WINSINN-Aluminum-Timing-Toothless-Printer/dp/B07BPHPYTN?th=1
1x,2-pack GT2 6mm width belt, 530mm length,$7,,https://www.aliexpress.us/item/3256808983126633.html?gatewayAdapt=glo2usa4itemAdapt
1x,Polar scope,$27,,https://www.amazon.com/Tydeux-Polar-Telescope-Finderscope-EQ-5/dp/B0D2L11C4G/
1x,3-pack 1/4 inch camera screw,$1,,https://www.aliexpress.us/item/3256806761503223.html
1x,Camera ball joint mount, red color,$1,,https://www.aliexpress.us/item/3256802805830814.html
1x,5-pack bubble level, 18x9mm,$1,,https://www.aliexpress.us/item/3256808611329580.html
4x,200g counterweight,$1,,https://www.aliexpress.us/item/3256807217165073.html
1x,6S LiPo battery, 22.2V 1000mAh 100C, XT60 connector,$15,,https://www.amazon.com/Ovonic-Battery-1000mAh-Connector-CINEWHOOP/dp/B07JPK99D9
1x,XT60 male and female plug pack wires, 14 AWG, 15cm length,$1,,https://www.aliexpress.us/item/3256808104814371.html
1x,LiPo battery charger,$30,,https://www.amazon.com/B6-Battery-Charger-Discharger-Connectors/dp/B0F2H3XR6S
1x,M4 nuts and bolts, 270 pcs,$9,,https://www.amazon.com/Kadrick-Assortment-Metric-Washers-Upgrade/dp/B0BZ6XG8PT?th=1
4x,M3 50pcs bolts, 6mm, 12mm, 16mm, 35mm versions,$1,,https://www.aliexpress.us/item/2255800794906149.html
1x,M3 50 pcs hex nuts,$1,,https://www.aliexpress.us/item/3256807407546447.html
1x,M2.5x30mm 50pcs bolts,$1,,https://www.aliexpress.us/item/2255799955713291.html
1x,M2.5 50 pcs nuts,$1,,https://www.aliexpress.us/item/3256807407546447.html
1x,Allen key set,$1,,https://www.aliexpress.us/item/3256807283413035.html
1x,Long-nosed plier,$1,,https://www.aliexpress.us/item/3256805792649837.html
Total minimum cost,$220
Total including 'in-case' of price changes, spare parts, etc.,~$235
Total including in-cases, sales tax (assumed ~6%), import and customs fees, etc.,~$270
